t,PV,WT,DG,p_bch,p_bde,E_b,served_h,served_s,served_c,delta
1,  0.0000,  0.0000,  0.0000,  0.0000, 60.0000,150.0000, 30.0000,  0.0000, 30.0000, 0
2,  0.0000, 16.8000, 20.0000,  0.0000, 23.2000,124.2222, 30.0000,  0.0000, 30.0000, 1
3,  0.0000, 26.8500, 33.1500,  0.0000,  0.0000,124.2222, 30.0000,  0.0000, 30.0000, 1
4,  0.0000, 35.8500, 23.7500,  0.0000,  0.4000,123.7778, 30.0000,  0.0000, 30.0000, 1
5,  0.0000, 44.2500,  0.0000,  0.0000, 15.7500,106.2778, 30.0000,  0.0000, 30.0000, 0
6,  3.8000, 50.5500,  0.0000,  0.0000,  5.6500,100.0000, 30.0000,  0.0000, 30.0000, 0
7,  5.7000, 54.3000,  0.0000,  0.0000,  0.0000,100.0000, 30.0000,  0.0000, 30.0000, 0
8, 60.8000, 40.8000,  0.0000, 41.6000,  0.0000,139.5200, 30.0000,  0.0000, 30.0000, 0
9, 95.0000, 35.7000,  0.0000, 40.7000,  0.0000,178.1850, 30.0000, 30.0000, 30.0000, 0
10,112.1211, 30.1500,  0.0000, 52.2711,  0.0000,227.8425, 30.0000, 30.0000, 30.0000, 0
11,137.0000, 22.8000,  0.0000, 69.8000,  0.0000,294.1525, 30.0000, 30.0000, 30.0000, 0
12,144.6000, 16.8000,  0.0000, 71.4000,  0.0000,361.9825, 30.0000, 30.0000, 30.0000, 0
13, 78.0000, 12.0000,  0.0000,  0.0000,  0.0000,361.9825, 30.0000, 30.0000, 30.0000, 0
14,134.6000,  8.7000,  0.0000, 53.3000,  0.0000,412.6175, 30.0000, 30.0000, 30.0000, 0
15,117.2000,  6.3000,  0.0000, 33.5000,  0.0000,444.4425, 30.0000, 30.0000, 30.0000, 0
16, 91.2000,  4.6500,  0.0000,  5.8500,  0.0000,450.0000, 30.0000, 30.0000, 30.0000, 0
17, 55.6500,  4.3500,  0.0000,  0.0000,  0.0000,450.0000, 30.0000,  0.0000, 30.0000, 0
18, 22.6000,  5.5500, 20.0000,  0.0000, 71.8500,370.1667, 30.0000,  0.0000, 90.0000, 1
19,  3.0000,  8.5500, 20.0000,  0.0000, 88.4500,271.8889, 30.0000,  0.0000, 90.0000, 1
20,  0.0000,  9.7500, 23.3500,  0.0000, 86.9000,175.3333, 30.0000,  0.0000, 90.0000, 1
21,  0.0000, 15.7500,100.0000,  0.0000,  4.2500,170.6111, 30.0000,  0.0000, 90.0000, 1
22,  0.0000, 28.8000, 91.2000,  0.0000,  0.0000,170.6111, 30.0000,  0.0000, 90.0000, 1
23,  0.0000, 36.4500, 20.0000,  0.0000, 63.5500,100.0000, 30.0000,  0.0000, 90.0000, 1
24,  0.0000, 34.0500, 25.9500,  0.0000,  0.0000,100.0000, 30.0000,  0.0000, 30.0000, 1
